Entity,Daily caloric supply,Obese,Population,Continent
Saint Helena,,,5480,
Saint Kitts and Nevis,2511,52.1,47816,
Saint Lucia,2618,48.1,174814,
Saint Martin (French part),,,35280,
Saint Pierre and Miquelon,,,6013,
Saint Vincent and the Grenadines,2945,49.5,106934,
Samoa,2974,73.4,201769,
San Marino,,,33415,
Sao Tome and Principe,2381,24.1,197511,
Saudi Arabia,3274,65.5,32125570,
Senegal,2438,19.5,13970314,
Serbia,2807,59.3,7543965,
Seychelles,,41.8,98016,
Sierra Leone,2301,16.9,7140700,
Singapore,,37.9,5570505,
Sint Maarten (Dutch part),,,39124,
Slovakia,2823,64.5,5419572,
Slovenia,3203,64.1,2074923,
Solomon Islands,2376,38.9,597386,
Somalia,,14.6,13309236,
South Africa,2976,40.2,54729556,
South America,3083.066636,,409128901,
South Korea,3333,37.9,50558044,
South Sudan,,,11213286,
Spain,3163,67.1,46464548,
Sri Lanka,2618,17.3,21239448,
Sudan,2589,21.5,37003248,
Suriname,2764,52,569687,
Svalbard and Jan Mayen,,,2400,
Sweden,3198,62.6,9747507,
Switzerland,3421,64.3,8187792,
Syria,,53.3,20072232,
Taiwan,2960,42.4,23422504,
Tajikistan,2091,39.4,8326354,
Tanzania,2339,15.2,50814552,
Thailand,2771,26,69960944,
Timor-Leste,,9.6,,
Togo,2433,15.7,7288381,
Tokelau,,72.6,1517,
Tonga,,74.4,106639,
Trinidad and Tobago,2987,51.2,1450663,
Tunisia,3435,55.1,11428953,
Turkey,3659,63,78112064,
Turkmenistan,2904,52.6,5663159,
Turks and Caicos Islands,,,35014,
Tuvalu,,72.7,10922,
Uganda,2127,12.5,36336544,
Ukraine,3145,57.4,45148072,
United Arab Emirates,3398,67.7,8835957,
United Kingdom,3376,67.7,64773504,
United States,3717,72.8,322033952,
United States Virgin Islands,,,103393,
Upper-middle-income countries,3140.278005,,2444604237,
Uruguay,3157,62.9,3391660,
Uzbekistan,2964,46.8,30446542,
Vanuatu,2733,47.2,269942,
Venezuela,2610,62.2,30193260,
Vietnam,2853,15.8,91235504,
Wallis and Futuna,,,12335,
Western Sahara,,,478023,
World,2895.239696,38.3,7339013632,
Yemen,2156,36.8,27753310,
Zambia,2013,18.5,15737796,
Zimbabwe,1986,19.5,13855758,
